Newspaper,Date,Headline,Article,ChatGPT Generated Summary,Pegasus Generated Summary,ROUGE-1,ROUGE-2,ROUGE-L
Mint,2012-03-23,Views | Dim sum bonds in tandoori land,"In a move that could help them reduce borrowing costs, the Reserve Bank of India last week allowed Indian firms to raise debt in Chinese renminbi, up to a collective total of $1 billion.

Indian companies with trading and investment links with China can now settle transactions by borrowing directly in renminbi, instead of raising money in US dollar and converting it to the Chinese currency, which would be more expensive.

Trade between India and China has grown at 40% year-on-year and stood at $60 billion last year. China remains India’s largest trading partner, accounting for 9.09% of India’s international trade during 2009-10.

Indian power firms could be the biggest beneficiaries. India is targeting 100,000MW of additional electricity capacity in the next five years and needs an investment of over US$400 billion in the power sector to reduce electricity deficits. India’s present power capacity is 170,000MW. Indian firms can now use this facility to finance power sector projects.

Power equipment imports from China have been growing rapidly, much to the irritation of local capital goods companies. According to industry lobby Assocham, Indian power producers have placed orders of power plant equipment, for around 50,000 MW generation capacity, from Chinese suppliers, resulting in a “loss"" of about ₹ 50,000 crore to the domestic equipment manufacturing companies.","The Reserve Bank of India has permitted Indian companies with ties to China to raise debt in Chinese renminbi, allowing transactions to be settled directly in the Chinese currency. This move, aimed at reducing borrowing costs, is particularly beneficial for Indian power firms as the country targets 100,000MW of additional electricity capacity in the next five years, requiring over $400 billion in investment. With India-China trade growing at 40% year-on-year, the facility to borrow in renminbi streamlines transactions and potentially eases financing for crucial power sector projects, despite concerns over the increasing imports of power equipment from China.",Indian power firms could be beneficiaries of a move by India’s central bank to ease their borrowing costs from China.,0.22764227642276424,0.06611570247933884,0.14634146341463417
The Times of India,2003-11-23,Hazare and Patkar: Do or die,"The complete lack of integrity and commitment on the part of all our political leaders has led to a dark and terrible situation in Indian politics.

Political leaders today have a small, sectarian, straitjacketed vision and their own small little axes to grind. The consequences for the country, as we can see, are depressing.

If I had to choose a political leader today, I would choose an amalgam of Medha Patkar, Anna Hazare, Narayana Murthy, and perhaps a small part of V P Singh.

The main quality about someone like Medha Patkar is a do-or-die commitment, which would stand the country in good stead. We need people with integrity and commitment to be our leaders.

Skills can be acquired along the way. Cleverness is a quality that helps people to help themselves, but doesn''t do much good to the country at large. Finally it is commitment that really helps.

One may disagree with Medha Patkar and Anna Hazare, but one can''t question their commitment to their causes. Everyone makes mistakes, Jawaharlal Nehru made mistakes too. But if the overall vision is broad and positive, one can overlook these mistakes.

V P Singh has a lot of failings. But I have always admired his vision. It covers a much broader spectrum than any other politician''s.

Narayana Murthy has more or less the same qualities as Ms Patkar and Mr Hazare. His vision is large, and he has the tenacity to see his dreams and plans through.

The contributions that I would expect from all these people would be very similar to the ones they are already making. They have all chalked out their paths in life and are ready to lay their lives on the line in reaching their targets. Such leadership would definitely do India a world of good.","India's political landscape is criticized for lacking integrity and commitment, leading to a troubling situation. The author envisions an ideal leader as a combination of Medha Patkar, Anna Hazare, Narayana Murthy, and a part of V P Singh. Emphasizing the importance of commitment and integrity over cleverness, the author admires individuals with a do-or-die attitude. Despite acknowledging the leaders' imperfections, the focus is on their broad, positive vision. The author believes that figures like Patkar, Hazare, Singh, and Murthy, with their commitment and vision, could significantly benefit the country.","In our series of letters from Indian journalists, film-maker and columnist Sharmila Tagore reflects on the qualities that make a good leader.",0.12173913043478261,0.0,0.08695652173913045
The Times of India,2020-11-22,India successfully tests hypersonic technology demonstrator vehicle scramjet engine,"The Defence Research and Development Organisation (DRDO) successfully conducted the maiden test flight of its hypersonic technology demonstrator vehicle (HSTDV) scramjet engine. This marks a significant advancement in India's indigenous development of hypersonic technologies, with potential applications in future aerospace and defense systems. The article delves into the technical details of the scramjet engine and its significance for India's strategic capabilities","India successfully tests a key component for hypersonic missiles, boosting its defense and aerospace technology development.",India has become the first country in the world to successfully test-fly a scramjet engine.,0.25,0.06666666666666667,0.25
The Times of India,2016-01-01,New Year bashes for some turn less groovy and more cozy,"NAVI MUMBAI: It’s not all rock and roll or having a blast at a nearby getaway or hotel for some residents. This time, many citizens preferred to usher in the New Year in their own housing societies and some hosted simple get-togethers at their homes. Radha Srinivasan enjoyed her New Year bash in her Uttara housing society at sector 50, Seawoods, Nerul, as she felt more at ease with her neighbours. “The usual getaways like the Gateway or Juhu beach are too crowded and not safe. Late night party was not possible due to police bandobast. So we celebrated among our own people,” she said.
Palash and Mahua Upadhya from Vashi went to a party thrown by their friend at his residence in sector 7. This year, Upadhyas decided to stay indoors and welcome the new dawn at their friend’s place.
“The large presence of cops at key traffic points reminded us of the recent terrorist activities. So it was a better option to stay in and celebrate,” said Mahua.
Like every year, residents of NRI complex organized a colourful event to usher in New Year. This year’s theme was “white” symbolizing peace and harmony.

That apart, there were DJ, dance, songs and a lavish spread at the event.
The Mukundrajs from that complex enjoyed a cozy get-together with few families at their apartment. The couple, along with guests, kept simple New Year resolutions such as ‘help the poor’, ‘help women in distress’.

Similarly, Vashi resident Neelam Hemrajani resolved to “conserve water”. Srinivasan, too, would rather stick to being “humble for a better tomorrow, instead of making tall promises like ‘quit smoking or rich foods’ which are usually broken by the time the year turns a day or two old”.","Many residents in Navi Mumbai opted for low-key New Year celebrations within their housing societies or intimate gatherings at home, avoiding crowded public places due to safety concerns and heightened police presence. Radha Srinivasan hosted a bash in her society, citing comfort and safety among neighbors. Palash and Mahua Upadhya attended a friend's indoor party due to security concerns. The NRI complex held a themed event promoting peace, while some opted for simple resolutions like aiding the needy or conserving resources. Neelam Hemrajani pledged to conserve water, and Srinivasan emphasized humility over grand resolutions often short-lived. Overall, the trend leaned towards intimate gatherings and thoughtful resolutions rather than grand spectacles.","As 2008 draws to a close, residents of the city share their views on how they marked the new year.",0.12030075187969924,0.015267175572519085,0.06015037593984962
The Times of India,2020-11-22,Scientists develop AI-powered tool to predict Covid-19 spread based on weather patterns,"Researchers from the Indian Institute of Technology (IIT) Delhi have developed an Artificial Intelligence (AI)-powered tool capable of predicting the spread of Covid-19 based on weather patterns. This tool could potentially aid in resource allocation and preventive measures by anticipating areas with higher risks of outbreaks. The article explains the working principle of the AI tool and its potential applications in pandemic management.
","Indian scientists create an AI tool that uses weather data to predict Covid-19 spread, helping authorities prepare for potential outbreaks.",This article looks at the potential applications of artificial intelligence (AI) in the fight against pandemics.,0.1081081081081081,0.0,0.05405405405405405
The Times of India,2016-02-01,History of Google Doodle,"When Google launched its doodle features in 2000, such was the popularity of the new service, that people from all over the world, were excitedly looking forward to what the search engine would throw up each day.
Informative, innovative, and some downright ingenious, these doodles, no doubt provided people with information on not just personalities but even important days. The organisation even went one step further and announced contests from time to time, where aspiring artists from all over the world, could send in submissions to them, and the winning doodle would be featured on their home page, along with details of the artist. In the recent past, it looks like Indian personalities, as well as events, have been gaining attention, too. The most recent example is the doodle celebrating Indian painter Amrita Sher-Gil on her 103rd birthday. Describing their tribute, they wrote about the artist, “Vivid colour, graceful forms, and bold strokes mark the truly remarkable life and work of Indian painter, Amrita Sher-Gil. Today’s Doodle honors the ‘Indian Frida Kahlo,’ who left no holds barred in her work, or in her life...”
BKS Iyengar
Date: December 14, 2015 Paying tribute to the man who could hold a headstand for half-an-hour well into his eighties, Google put up an animated doodle on the occasion of his 97th birthday. What they wrote: To remember the pioneering and deeply spiritual yogi on what would have been his 97th birthday, Kevin Laughlin used a few of the master’s poses, or asanas, to help complete the logo on today’s homepage.

Verghese Kurien Date: November 26, 2015 On the occasion of Verghese Kurien’s 94th birth anniversary, an illustration of the ‘father of the white revolution’ was on the homepage.
What they wrote: There are few things to give one’s country as sacred and invaluable as nourishment. Today we salute Verghese Kurien, whose ingenuity transformed India’s milk industry and continues to soothe countless stomachs and minds.
Nargis
Date: June 1, 2015 Famed for her beauty and her acting chops, Nargis worked her way into the heart of every Hindi cinema lover, and this doodle is a celebration of the actress’s 86th birthday
What they wrote: Illustrated by guest artist Patrick Leger. Nargis lifted her ghoonghat headpiece and blazed the silver screen with her portrayal of strong women protagonists. Today’s Doodle pays tribute to her magnetic charisma, peeking underneath the ghoonghat.

Annie Besant
Date: October 1, 2015 A supporter of the Indian self-rule, Besant’s love affair with India started in the early 1900s. Homage to the benevolent Besant on her 168 th birth anniversary is this doodle made by Lydia Nichols.
What they wrote: While the woman at the center of our logo looks perfectly content rocking sweetly in her chair; her powerful speeches could whip an audience of thousands into a frenzy.

Chennai on the doodle scene

MS Subbulakshmi: A doodle was put out on the occasion of her 97th birthday in 2013.


CV Raman: In 2013, CV Raman’s 125th birthday was remembered with this doodle. Srinivasa Ramanujan: Marking the math whiz’s 125th birthday on December 22, 2012, was this colourful doodle.

Children’s Day, November 14, 2015: This was one of the occasions where a doodle contest was announced and kids from India were encouraged to doodle on the theme ‘If I could create something for India, it would be...’ The winner was nine-year-old, P Karthik, from Sri Prakash Vidyaniketan, Visakhapatnam, who described his creation as “a machine that will recycle all the plastic waste from our country and turn it into a material which helps the growth of Mother Nature. This machine will turn the most powerful evil plastic into green.”


History of the Google Doodle
Google’s founders Larry and Sergey, in 2000, asked Dennis Hwang, an intern at the time, to produce a doodle for Bastille Day. It was so well received by the users that Dennis was appointed Google's chief doodler and doodles started showing up more and more regularly on the Google homepage. The team has created over 2000 doodles for homepages around the world.","
The news discusses the popularity of Google Doodles since their launch in 2000, with people worldwide eagerly anticipating the daily artistic variations on the search engine's homepage. The doodles often provide information on personalities and important days, with contests allowing global artists to submit their work for a chance to be featured. Recently, Indian personalities like painter Amrita Sher-Gil, yogi BKS Iyengar, and dairy entrepreneur Verghese Kurien have been honored with doodles. The article highlights the impact of these artistic tributes and mentions instances where Indian figures and events, such as Children's Day, were celebrated through doodles. The history of Google Doodles, starting with an intern's creation for Bastille Day in 2000, is also briefly covered.","As Google celebrates its 15th birthday, we take a look back at some of the most memorable doodles the search giant has put up over the years.",0.1360544217687075,0.027586206896551724,0.06802721088435375
The Times of India,2020-11-22,"India's Covid-19 cases decline, daily tally falls below 30,000 for first time in six months"," India's daily Covid-19 cases witnessed a significant drop, falling below 30,000 for the first time in six months. This decline was attributed to several factors, including improved testing strategies, increased public awareness, and adherence to safety protocols. The article analyzes the reasons behind the declining cases and discusses the need for continued vigilance to prevent another surge"," India's daily Covid-19 cases see a substantial decrease for the first time in six months, offering hope but stressing the importance of staying cautious",The World Health Organization (WHO) has reported a significant decline in the number of Covid-19 cases in India.,0.39999999999999997,0.09302325581395349,0.17777777777777778
The Times of India,2016-03-01,Yo Yo Honey Singh puts Shah Rukh Khan's slap-gate rumours to rest,"Before Yo Yo Honey Singh's sudden disappearance from the industry, gossip mills were rife with rumours of a major show down between him and Shah Rukh Khan. Reports then claimed that, while the two were touring together for 'Happy New Year's promotional event, 'SLAM The Tour'!, SRK slapped Singh for his 'unprofessionalism'. And the fact that the rapper left the tour midway, further added fuel to the fire. But looks like the rumours were just that' rumours!
After, what seem ages, Honey Singh made his first public appearance last night (February 28, 2016) at a music awards event. And well, he definitely floored the audience with his wonderfully paid tribute to Govinda. The singer also performed his hit number, 'Lungi dance' from Shah Rukh's 'Chennai Express.' Incidentally, Singh was seated next to SRK at the event.
'Honey (Singh) and Shah Rukh were sitting next to each other and they were chatting and seemed to be bonding like old pals,' a source from the event exclusively informed TOI.
Well, we guess that should silence gossip mongers!","The news addresses the previous rumors of a rift between Yo Yo Honey Singh and Shah Rukh Khan, allegedly stemming from an incident during their joint promotional tour for 'Happy New Year.' Recent reports suggest that these rumors were unfounded, as Honey Singh made a public appearance at a music awards event, where he paid a tribute to Govinda and performed his hit song 'Lungi Dance' from 'Chennai Express.' Notably, Singh and Shah Rukh Khan were seen sitting together, chatting amicably, dispelling any speculations of a feud. The incident at the awards event suggests a friendly camaraderie between the two, putting an end to earlier gossip.",Shah Rukh Khan and Youn Honey Singh were spotted together at an awards event last night.,0.19672131147540986,0.06666666666666667,0.1639344262295082
The Times of India,2020-11-22,Yoga found to be effective in managing stress and improving mental health during pandemic,"A study published in the International Journal of Yoga revealed the positive impact of yoga practice on stress management and mental well-being during the Covid-19 pandemic. The study found that participants who practiced yoga regularly experienced reduced stress levels, improved mood, and enhanced coping mechanisms. The article highlights the benefits of yoga as a complementary therapy for promoting mental health and well-being, especially during challenging times"," A study shows that regular yoga practice helps manage stress and improve mental health, offering a valuable tool for coping with the challenges of the pandemic.","Yoga can help people cope with stress and improve their mental well-being, according to a new study.",0.4545454545454546,0.14285714285714282,0.3181818181818182
The Times of India,2016-04-01,City man to take referee test for Rio Olympics,"NAVI MUMBAI: Panvel resident Subhash Patil (43), an international taekwondo referee, has been invited by the European Taekwondo Union (ETU) to undergo referee seminar, refresher course and international referee examinations, to be held under the aegis of World Taekwondo Federation (WTF) in Bonn, Germany from April 2 to 10.
Those who qualify will be selected to officiate at the ensuing Rio Olympics this year. Patil has discharged the job of referee at Australian Open Taekwondo championship, Asian championship and other international events.","Panvel resident Subhash Patil, a 43-year-old international taekwondo referee, has been invited by the European Taekwondo Union (ETU) to participate in a referee seminar, refresher course, and international referee examinations in Bonn, Germany, from April 2 to 10. The event, conducted under the World Taekwondo Federation (WTF), will potentially qualify successful participants to officiate at the upcoming Rio Olympics. Patil, who has previous experience as a referee at various international taekwondo championships, including the Australian Open and Asian Championship, is set to undergo this crucial training and examination, aiming for a role in the prestigious Rio Olympics.",A taekwondo referee from the state has been selected to officiate at the Rio Olympics.,0.22807017543859653,0.10714285714285714,0.1929824561403509
